No,챕터,강의번호,시트강의명,학습목표_제안,통합개념,근거ID,결과물_제안,확인사항,시트비고,시트행,BPT대응상태
11,CH01. 지금 내 회사의 가치는 얼마인가? (자가진단),1-4,손익 진단,매출과 이익을 구분하고 상품·고객획득의 비용을 계산한다.,K04;K07,M02;M03;Q009;M01;S01;G003,손익·회수표,회계 범위·우리 계산 예시 검수 필요,,17,미배정
12,CH01. 지금 내 회사의 가치는 얼마인가? (자가진단),1-5,가장 큰 병목과 우선순위 찾기,막힌 구간의 원인 가설과 먼저 바꿀 한 가지를 정한다.,K06;K21,S01;Q011;M02;Q008;Q009;G013,병목·우선순위표,초안 가능,,18,미배정
13,CH01. 지금 내 회사의 가치는 얼마인가? (자가진단),1-6,3개월·1년 시나리오,현재 값과 개선 가정을 분리해 조건별 결과를 계산한다.,K04;K24,M02;M03;Q009;Q002;Q010;G014;G015,3개월·1년 시나리오,실제 매출 예측·보장과 구분,,19,미배정
14,CH02. 상품기획 — 팔리는 것은 정해져 있다,2-1,마케팅적 상품기획,고객이 원하는 결과와 구매·사용 장애물로 상품을 기획한다.,K02;K03;K07,M01;S01;S02;Q005;Q011;S03;G003,고객 문제·해결·상품표,초안 가능,,21,미배정
15,CH02. 상품기획 — 팔리는 것은 정해져 있다,2-2,가격과 상품 구성,가치·제공 원가·후속 제안을 함께 보고 가격과 구성을 정한다.,K07;K14,M01;S01;G003;M03;G007,가격·구성표,초안 가능,,22,미배정
16,CH02. 상품기획 — 팔리는 것은 정해져 있다,2-3,USP 짜는 법,고객이 구분할 선택 이유를 정하고 증명할 근거를 붙인다.,K03;K20,M01;S03;G003;Q011;Q005;S01;G017,USP·증거표,초안 가능,,23,미배정
17,CH02. 상품기획 — 팔리는 것은 정해져 있다,2-4,USP에 맞는 채널 계획,고객이 있는 곳과 USP를 설명할 형식에 맞춰 채널을 고른다.,K18;K20,M02;S02;G005;Q005;Q011;S01;G017,채널 선택표,현재 채널 기능은 별도 검증,,24,미배정
18,CH03. 고객 DB — 내 매출이 예측 가능해진다,3-1,DB가 있을 때와 없을 때,다시 연락할 관계가 남는 경우와 매번 새로 유입해야 하는 경우를 비교한다.,K05;K09,S02;S04;G006;G012;G015;M02,DB 유무에 따른 흐름 비교,초안 가능,,26,미배정
19,CH03. 고객 DB — 내 매출이 예측 가능해진다,3-2,DB를 모으는 퍼널,작은 문제 해결부터 고객 정보와 다음 제안까지 연결한다.,K08;K12,M02;S01;G005;S02;S03,리드마그넷·신청 퍼널,초안 가능,,27,미배정
20,CH03. 고객 DB — 내 매출이 예측 가능해진다,3-3,DB 관리 시트,연락처 외에 출처·관심·단계·다음 행동을 관리한다.,K09;K24,M02;S02;S04;M03;Q002;Q010;G014;G015,DB 관리 시트,회사별 수집 항목·운영 기준 설계 필요,,28,미배정
21,CH03. 고객 DB — 내 매출이 예측 가능해진다,3-4,고객 단계 나누기,연락 가능·관심·구매 준비 상태를 나눠 다음 행동을 정한다.,K09;K11,M02;S02;S04;S03;S01;G008;G017,고객 단계 정의표,우리 단계와 책의 인지 단계를 혼동하지 않음,,29,미배정
22,CH03. 고객 DB — 내 매출이 예측 가능해진다,3-5,DB로 매출 예상하기,고객 수·단계별 전환·구매금액으로 조건별 매출을 계산한다.,K04;K09,M02;M03;Q009;S02;S04,DB 기반 시나리오,데이터 없으면 가정 표시,,30,미배정
23,CH04. CRM — 당장 다음 달 매출이 급하다면,4-1,고객 단계와 발송 시기,고객의 행동과 상태에 따라 보낼 메시지와 시점을 정한다.,K09;K10,M02;S02;S04;S01;S03,발송 조건표,시트 비고: 상담 내용 제외,"CRM 문구 포맷 중심, 상담 내용 제외",32,미배정
24,CH04. CRM — 당장 다음 달 매출이 급하다면,4-2,CRM 문구 기본 포맷 (변경안),관심 유도·가치·증거·다음 행동이 이어지는 문구를 만든다.,K10;K11,S01;S02;S04;S03;G008;G017,CRM 기본 문구틀,시트 제목이 변경안·확정 전,"변경안(확정 전): 상담 내용 제외, CRM 문구 포맷 설명",33,미배정
25,CH04. CRM — 당장 다음 달 매출이 급하다면,4-3,단계별 문구 — 신규·관심·구매 검토 (변경안),신규·관심·검토 고객에게 같은 문구를 반복하지 않고 필요한 정보를 보낸다.,K09;K11,M02;S02;S04;S03;S01;G008;G017,단계별 문구,시트 제목이 변경안·확정 전,"변경안(확정 전): 상담 내용 제외, CRM 문구 포맷 설명",34,미배정
26,CH04. CRM — 당장 다음 달 매출이 급하다면,4-4,구매 유도·마감 문구 (변경안),구매 이유와 실제 마감 조건을 명확히 전달한다.,K11;K07;K26,S03;S01;G008;G017;M01;G003;S04;G021,구매·마감 문구,시트 제목이 변경안·확정 전,"변경안(확정 전): 상담 내용 제외, CRM 문구 포맷 설명",35,미배정
27,CH04. CRM — 당장 다음 달 매출이 급하다면,4-5,미구매·휴면 고객 재발송 문구 (변경안),미구매·휴면의 이유에 맞춰 다른 정보나 제안을 보낸다.,K10;K11;K14,S01;S02;S04;S03;G008;G017;M03;G007,재발송 시퀀스,시트 제목이 변경안·확정 전,"변경안(확정 전): 상담 내용 제외, CRM 문구 포맷 설명",36,미배정
28,CH04. CRM — 당장 다음 달 매출이 급하다면,4-6,CRM 성과 측정 방법 (변경안),발송·도달·반응·구매를 구분해 다음 문구를 개선한다.,K04;K10;K21,M02;M03;Q009;S01;S02;S04;S03;Q008;G013,CRM 성과표,시트 제목이 변경안·확정 전; 도구별 추적 별도,변경안(확정 전): CRM 성과 측정 방법,37,미배정
29,CH05. 홈 — 자동으로 팔리는 자사몰·매장 기획 방법,5-1,우리 회사에 맞는 퍼널 선택하기,상품과 구매 방식에 맞는 고객 경로를 선택한다.,K12;K07,S01;S02;S03;M01;G003,퍼널 선택 이유,초안 가능,,39,미배정
30,CH05. 홈 — 자동으로 팔리는 자사몰·매장 기획 방법,5-2,팔리는 홈의 구성,고객·결과·차이·증거·다음 행동이 보이도록 홈을 구성한다.,K12;K11;K03,S01;S02;S03;G008;G017;M01;G003;Q011,홈 구성안,초안 가능,,40,미배정
31,CH05. 홈 — 자동으로 팔리는 자사몰·매장 기획 방법,5-3,플랫폼과 자사몰 연결하기,외부 플랫폼의 발견을 자사 접점의 관계로 연결한다.,K05;K12;K18,S02;S04;G006;G012;G015;S01;S03;M02;G005,플랫폼·자사 접점 연결도,플랫폼별 실제 허용 기능 확인 필요,,41,미배정
32,CH05. 홈 — 자동으로 팔리는 자사몰·매장 기획 방법,5-4,DB와 CRM 연결하기,신청 정보와 구매 상태를 후속 메시지에 연결한다.,K08;K09;K10,M02;S01;G005;S02;S04;S03,폼·DB·CRM 연결도,사용 도구별 연동 구현은 별도,,42,미배정
33,CH05. 홈 — 자동으로 팔리는 자사몰·매장 기획 방법,5-5,홈을 복리 자산으로 만들기,홈의 콘텐츠·후기·데이터를 다음 개선에도 사용한다.,K05;K12,S02;S04;G006;G012;G015;S01;S03,축적 자산 목록,초안 가능,,43,미배정
34,CH05. 홈 — 자동으로 팔리는 자사몰·매장 기획 방법,5-6,전환율 측정하기,페이지 전체를 한꺼번에 바꾸지 않고 이탈 구간과 가설을 본다.,K06;K21,S01;Q011;M02;Q008;Q009;G013,전환율·실험표,초안 가능,,44,미배정
35,CH06. 리텐션 — 한 번 데려온 고객의 가치가 계속 쌓이게 만드는 방법,6-1,리텐션과 복리 마케팅,첫 거래 이후의 고객가치와 비용 회수를 함께 본다.,K13;K04,S01;M03;S02;M02;Q009,고객가치 구조도,초안 가능,,46,미배정
36,CH06. 리텐션 — 한 번 데려온 고객의 가치가 계속 쌓이게 만드는 방법,6-2,재구매 주기와 구매 후 고객 경험,첫 만족과 다음 필요가 생기는 시점에 맞춰 고객 경험을 설계한다.,K13;K10,S01;M03;S02;S04;S03,구매 후 여정·주기표,업종별 실제 재구매 주기 자료 필요,,47,미배정
37,CH06. 리텐션 — 한 번 데려온 고객의 가치가 계속 쌓이게 만드는 방법,6-3,업셀링과 추가 구매,다음 문제를 해결하는 상품을 적절한 시점에 제안한다.,K14;K07,M03;S01;G007;M01;G003,업셀·추가 구매표,초안 가능,,48,미배정
38,CH06. 리텐션 — 한 번 데려온 고객의 가치가 계속 쌓이게 만드는 방법,6-4,지인 소개 프로그램,만족한 고객이 소개할 이유·방법·시점을 만든다.,K15;K13,M02;G008;S01;M03;S02,소개 프로그램 초안,초안 가능,,49,미배정
39,CH06. 리텐션 — 한 번 데려온 고객의 가치가 계속 쌓이게 만드는 방법,6-5,재구매·업셀·소개 시퀀스,안내·성과 확인·재구매·업셀·소개를 고객 상태에 맞게 연결한다.,K10;K13;K14;K15,S01;S02;S04;S03;M03;G007;M02;G008,구매 후 시퀀스,우리 업종 적용안,,50,미배정
40,CH06. 리텐션 — 한 번 데려온 고객의 가치가 계속 쌓이게 만드는 방법,6-6,성과 측정,반복 구매와 소개의 매출뿐 아니라 비용·이익을 확인한다.,K04;K13;K15,M02;M03;Q009;S01;S02;G008,리텐션 성과표,수식과 분모 정의 필요,,51,미배정
41,CH07. 커뮤니티 — 고객의 결과가 새로운 고객을 데려오는 구조,7-1,왜 커뮤니티인가,상품 사용·실행·관계 유지에서 커뮤니티가 필요한지 판단한다.,K16;K13,M03;Q006;G002;G008;S01;S02,커뮤니티 필요성 판단,일부 사례 근거; 보편 효과 단정 금지,,53,미배정
42,CH07. 커뮤니티 — 고객의 결과가 새로운 고객을 데려오는 구조,7-2,핵심 행동과 운영 장치,고객이 실제로 할 핵심 행동과 피드백 장치를 정한다.,K16;K25,M03;Q006;G002;G008;G009;G018;G019;Q004;Q010,핵심 행동·운영 일정,운영 세부는 우리 설계,,54,미배정
43,CH07. 커뮤니티 — 고객의 결과가 새로운 고객을 데려오는 구조,7-3,후기와 수익인증 플라이휠,고객 결과를 조건이 보이는 후기로 수집하고 전달한다.,K15;K16;K19,M02;G008;M03;Q006;G002;S03;G020;Q009,후기·사례 수집표,수익 인증을 모든 업종에 강제하지 않음,,55,미배정
44,CH07. 커뮤니티 — 고객의 결과가 새로운 고객을 데려오는 구조,7-4,소개 프로그램과 연결하기,성과를 경험한 고객의 소개를 커뮤니티 흐름에 연결한다.,K15;K16,M02;G008;M03;Q006;G002,소개 동선,초안 가능,,56,미배정
45,CH07. 커뮤니티 — 고객의 결과가 새로운 고객을 데려오는 구조,7-5,운영 위임과 측정,담당자·운영 반복 업무·측정 기준을 분리한다.,K16;K22;K24,M03;Q006;G002;G008;M02;G004;G011;Q003;Q008;Q002;Q010;G014;G015,역할·운영·성과표,운영 세부는 우리 설계,,57,미배정
46,CH08. 월구독 — 반복매출을 만드는 방법,8-1,월구독이 가능한 조건,반복되는 필요와 지속 제공 가능성이 있는지 먼저 판단한다.,K17;K07,M03;S01;G007;Q006;M01;G003,구독 적합성 점검표,초안 가능,,59,미배정
47,CH08. 월구독 — 반복매출을 만드는 방법,8-2,업종별 반복매출 방식,배송·관리·점검·지원 등 반복 가치의 형태를 비교한다.,K17;K13,M03;S01;G007;Q006;S02,업종별 반복 가치 가설,업종 예시는 가상·실제 출처 구분,,60,미배정
48,CH08. 월구독 — 반복매출을 만드는 방법,8-3,기존 상품에서 월구독으로 연결하기,본상품 사용 뒤 생기는 다음 문제를 지속 제안으로 연결한다.,K17;K14,M03;S01;G007;Q006,첫 구매→구독 경로,초안 가능,,61,미배정
49,CH08. 월구독 — 반복매출을 만드는 방법,8-4,월구독 운영 구조와 손익,제공 범위·인력·비용·유지기간을 함께 계산한다.,K17;K04;K22,M03;S01;G007;Q006;M02;Q009;G004;G011;Q003;Q008,구독 운영·손익표,우리 운영 가정 명시,,62,미배정
50,CH08. 월구독 — 반복매출을 만드는 방법,8-5,해지와 윈백,해지 이유와 미사용 원인을 분리하고 개선·복귀 제안을 만든다.,K17;K10;K21,M03;S01;G007;Q006;S02;S04;S03;Q008;Q009;G013;M02,해지 원인·윈백표,체계적 윈백 근거와 실제 사례 보강 필요,,63,미배정
51,CH09. 트래픽 — 우리 고객을 데려오는 방법,9-1,트래픽의 네 가지 방법,유입의 전체 선택지를 보고 우리 분류와 원전 분류의 차이를 이해한다.,K18,M02;S02;G005,유입 방법 지도,두 종류의 4분류를 별도 설명,,65,미배정
52,CH09. 트래픽 — 우리 고객을 데려오는 방법,9-2,우리 회사에 맞는 채널 고르기,고객 위치·예산·인력·구매 방식으로 우선 채널을 정한다.,K18;K02;K04,M02;S02;G005;M01;S01;Q005;Q011;M03;Q009,채널 우선순위,초안 가능,,66,미배정
53,CH09. 트래픽 — 우리 고객을 데려오는 방법,9-3,검색·콘텐츠·광고,검색·콘텐츠·광고의 역할과 연결을 가설로 실행한다.,K18;K19;K21,M02;S02;G005;S03;G008;G020;Q009;Q008;G013,채널별 첫 실험,현재 도구 화면·집행 기능 별도 확인,,67,미배정
54,CH09. 트래픽 — 우리 고객을 데려오는 방법,9-4,플랫폼·크리에이터·제휴,이미 고객과 신뢰를 가진 파트너와 협업 경로를 설계한다.,K18;K15,M02;S02;G005;G008,제휴·크리에이터 연결표,책의 제휴 방식과 국내 플랫폼 조건 구분,,68,미배정
55,CH09. 트래픽 — 우리 고객을 데려오는 방법,9-5,트래픽을 복리 자산으로 만들기,유입의 결과를 DB·콘텐츠·학습 데이터로 남긴다.,K05;K08;K19,S02;S04;G006;G012;G015;M02;S01;G005;S03;G008;G020;Q009,트래픽 자산 전환표,초안 가능,,69,미배정
56,CH10. 직원·외주 운영 — 대표가 직접 하던 마케팅을 넘기는 방법,10-1,직접 실행부터 위임까지,직접 이해한 기준을 문서와 교육으로 옮긴 뒤 위임한다.,K22;K25,M02;G004;G011;Q003;Q008;G009;G018;G019;Q004;Q010,위임 순서표,초안 가능,,71,미배정
57,CH10. 직원·외주 운영 — 대표가 직접 하던 마케팅을 넘기는 방법,10-2,회사 규모별 운영 방식,현재 회사 규모와 병목에 맞춰 역할을 나눈다.,K22;K24,M02;G004;G011;Q003;Q008;M03;Q002;Q010;G014;G015,규모별 역할표,매출 구간을 보편 기준으로 고정하지 않음,,72,미배정
58,CH10. 직원·외주 운영 — 대표가 직접 하던 마케팅을 넘기는 방법,10-3,AI 활용,AI에 맡길 입력·출력과 사람이 검수할 기준을 정한다.,K23;K22,G010;Q008;M02;G004;G011;Q003,AI 업무·검수표,툴 실습·현재 성능 근거 부족,,73,미배정
59,CH10. 직원·외주 운영 — 대표가 직접 하던 마케팅을 넘기는 방법,10-4,마케팅 직원 채용,필요한 결과·역량·교육·측정 방식으로 채용 기준을 만든다.,K22;K24,M02;G004;G011;Q003;Q008;M03;Q002;Q010;G014;G015,직무·평가·온보딩표,초안 가능,,74,미배정
60,CH10. 직원·외주 운영 — 대표가 직접 하던 마케팅을 넘기는 방법,10-5,외주·대행사 관리,대행 결과의 판단 기준과 데이터 접근·인수인계를 정한다.,K22;K04;K21,M02;G004;G011;Q003;Q008;M03;Q009;G013,외주 평가·인수인계표,실제 계약 조건은 별도 설계,,75,미배정
61,CH10. 직원·외주 운영 — 대표가 직접 하던 마케팅을 넘기는 방법,10-6,맡겨도 회사에 남게 하기,실행을 맡겨도 계정·원본·고객·성과·매뉴얼을 관리한다.,K22;K05,M02;G004;G011;Q003;Q008;S02;S04;G006;G012;G015,회사 보유 자산·권한표,초안 가능,,76,미배정
62,CH11. 시스템 — 회사 전체 마케팅을 연결하는 방법,11-1,전체 마케팅 흐름 연결,개별 강의의 결과물을 한 고객 여정과 운영 구조로 연결한다.,K24;K06;K17,M02;M03;Q002;Q010;G014;G015;S01;Q011;G007;Q006,전체 마케팅 운영도,우리 과정 종합 설계,,78,미배정
63,CH11. 시스템 — 회사 전체 마케팅을 연결하는 방법,11-2,마케팅 대시보드,단계별 숫자와 정의·담당자를 한곳에서 본다.,K24;K04;K09,M02;M03;Q002;Q010;G014;G015;Q009;S02;S04,대시보드 명세,실제 시스템 구현·데이터 별도,,79,미배정
64,CH11. 시스템 — 회사 전체 마케팅을 연결하는 방법,11-3,주간 운영 시스템,성과 확인→가설→담당→실행→재검토를 주간 반복으로 만든다.,K24;K21;K22,M02;M03;Q002;Q010;G014;G015;Q008;Q009;G013;G004;G011;Q003,주간 회의·실험 운영판,우리 운영 방식,,80,미배정
65,CH11. 시스템 — 회사 전체 마케팅을 연결하는 방법,11-4,복리 마케팅 자산 확인,시작 때와 비교해 회사에 남은 자산과 활용 가능성을 확인한다.,K24;K05,M02;M03;Q002;Q010;G014;G015;S02;S04;G006;G012,전후 자산 점검표,자동 성과 판정 금지,,81,미배정
66,CH11. 시스템 — 회사 전체 마케팅을 연결하는 방법,11-5,다음 3개월 실행계획,다음 병목과 자원 한도에 맞춰 실행·중단·유지 조건을 정한다.,K24;K21;K04,M02;M03;Q002;Q010;G014;G015;Q008;Q009;G013,다음 90일 계획,계획 확정·완료 표시는 사용자 결정,,82,미배정
