원천ID,게시글ID,제목,작성일,작성자,자료성격,키워드,B2B활용메모,원문URL,원문파일,스토리카드,본문문단수,이미지참조수,삽입게시물수,상태
EPR-CAFE-30466,30466,글 100개의 의미,2024-11-27,주는사란,대행·교육 경험,콘텐츠축적·실행지원·운영개선,글 축적을 기다리기 어려운 고객과 수강생을 위해 강의·과제·카톡·챌린지를 고친 과정. 100개라는 수를 보장 공식으로 만들지 않는다.,https://cafe.naver.com/ranschool/30466,카페원문/30466.md,스토리카드/30466.md,17,9,0,카페 HTML·텍스트 보관
EPR-CAFE-30406,30406,일요일에 사무실에서,2024-11-24,주는사란,개인 일상,일·휴식·가치관,일요일 사무실과 가족을 떠올린 개인 기록. 고객사 사건으로 바꾸지 않고 일하는 태도 설명에 제한적으로 사용한다.,https://cafe.naver.com/ranschool/30406,카페원문/30406.md,스토리카드/30406.md,11,0,0,카페 HTML·텍스트 보관
EPR-CAFE-30321,30321,내 마케팅 대행 블로그로 문의를 받는 과정,2024-11-21,주는사란,직접 경험,대행사콘텐츠·문의·신뢰,대행 블로그에서 왜 자신을 선택할지 보여주는 과정. 사례·소통·결과를 어떻게 제시했는지 원문을 확인해 활용한다.,https://cafe.naver.com/ranschool/30321,카페원문/30321.md,스토리카드/30321.md,26,17,0,카페 HTML·텍스트 보관
EPR-CAFE-30196,30196,"블로그, 지금 시작해도 할수 있는 이유가 생겼어요",2024-11-16,주는사란,방법론·의견,블로그·매체변화,당시 블로그 환경에 대한 판단과 시작 가능성을 설명한 글. 현재 알고리즘의 검증된 설명으로 단정하지 않는다.,https://cafe.naver.com/ranschool/30196,카페원문/30196.md,스토리카드/30196.md,51,9,0,카페 HTML·텍스트 보관
EPR-CAFE-30161,30161,"블로그, 이렇게도 활용할 수 있습니다.",2024-11-15,주는사란,기사·화면 분석,블로그·클립·매체변화,네이버 실적 기사와 앱 화면을 보고 체류시간·광고 지면 변화를 해석한 글. 원문이 추측이라고 밝힌 부분을 확인된 플랫폼 의도로 바꾸지 않는다.,https://cafe.naver.com/ranschool/30161,카페원문/30161.md,스토리카드/30161.md,22,8,0,카페 HTML·텍스트 보관
EPR-CAFE-30128,30128,괴로운 일,2024-11-14,주는사란,직접 경험,콘텐츠제작·완성도,공개하기 전 영상 제작을 오래 고민한 장면. 개선 욕구가 제작과 실행을 지연시키는 경험으로 활용한다.,https://cafe.naver.com/ranschool/30128,카페원문/30128.md,스토리카드/30128.md,22,6,0,카페 HTML·텍스트 보관
EPR-CAFE-29840,29840,주는사란 2탄이 시작됐다.,2024-11-02,주는사란,직접 경험·진행 기록,채널목표·매출·조회수,새 채널을 조회수만이 아닌 사업 목적에 맞춰 운영한 기록. 예정된 수입을 실현 수입으로 바꾸지 않는다.,https://cafe.naver.com/ranschool/29840,카페원문/29840.md,스토리카드/29840.md,17,10,0,카페 HTML·텍스트 보관
EPR-CAFE-29303,29303,부업스파르타 / 마케팅대행창업반 공지관련 안내,2024-10-10,주는사란,강의 공지,준비·품질·교육운영,준비 상태에 맞춰 강의 진행을 조정한 기록. 교육상품 운영의 판단 자료이며 수강생 수익 보장이 아니다.,https://cafe.naver.com/ranschool/29303,카페원문/29303.md,스토리카드/29303.md,8,2,0,카페 HTML·텍스트 보관
EPR-CAFE-28838,28838,1년전 시작했던 간판업체 현황,2024-09-20,주는사란,사업 근황,간판업·팀·역할분담,시작한 간판업체의 1년 뒤 근황. 당시 팀 역할과 진행 내용을 보존하고 제목만으로 성과를 추정하지 않는다.,https://cafe.naver.com/ranschool/28838,카페원문/28838.md,스토리카드/28838.md,48,18,0,카페 HTML·텍스트 보관
EPR-CAFE-28655,28655,사람을 바꾸는 방법,2024-09-14,주는사란,교육 경험·방법론,행동변화·설득·실행,사람이 실제 행동을 바꾸게 돕는 방법에 대한 생각. 고객 행동을 설계하는 논리적 참고로 사용한다.,https://cafe.naver.com/ranschool/28655,카페원문/28655.md,스토리카드/28655.md,19,8,0,카페 HTML·텍스트 보관
EPR-CAFE-28572,28572,몸값이 높은 사람,2024-09-12,주는사란,의견,업무능력·관계·가치,일을 잘하는 능력과 관계의 역할을 논의할 때 참고한다. 몸값에 대한 표현을 실증된 수익 공식으로 사용하지 않는다.,https://cafe.naver.com/ranschool/28572,카페원문/28572.md,스토리카드/28572.md,5,1,0,카페 HTML·텍스트 보관
EPR-CAFE-27627,27627,주는사란 2탄이 곧 시작됩니다.,2024-08-05,주는사란,운영 계획,채널기획·성장,새 채널 준비 단계의 기록. 시작 전 의도와 실제 결과를 구분한다.,https://cafe.naver.com/ranschool/27627,카페원문/27627.md,스토리카드/27627.md,26,18,0,카페 HTML·텍스트 보관
EPR-CAFE-27006,27006,낙심이 될때,2024-07-15,주는사란,학원 경험·성찰,학습·진단·개선,아이의 공부 방식에 대한 장면에서 단순 노력과 구체적 사고의 차이를 설명한다. 대행 고객 사건으로 치환하지 않는다.,https://cafe.naver.com/ranschool/27006,카페원문/27006.md,스토리카드/27006.md,11,1,0,카페 HTML·텍스트 보관
EPR-CAFE-26906,26906,"마케팅대행부업, 사업자등록증 및 계약서 관련 간단 정리",2024-07-11,주는사란,당시 실무 안내,계약·사업자·기록,계약서와 업무 기록 운영의 참고 자료. 세무·법률 설명은 당시 글이며 현재 기준 적용 전 재확인한다.,https://cafe.naver.com/ranschool/26906,카페원문/26906.md,스토리카드/26906.md,44,3,0,카페 HTML·텍스트 보관
EPR-CAFE-26882,26882,겸직금지여도 할 수 있는 부업,2024-07-10,주는사란,당시 부업 안내,겸직·소득·대상차이,부업 대상 안내로 원문 보존한다. 현재 사업자 교육에 직접 옮기기 어렵고 법률·사규 판단은 별도 확인이 필요하다.,https://cafe.naver.com/ranschool/26882,카페원문/26882.md,스토리카드/26882.md,10,3,0,카페 HTML·텍스트 보관
EPR-CAFE-26858,26858,마케팅대행 실제 영업편 (1) 90초 걸림,2024-07-09,주는사란,영업 방법·예시,진단제안·영업·고객문제,고객 상황을 보고 짧게 제안하는 영업 방식. 예시를 실제 수주나 검증된 전환율로 바꾸지 않는다.,https://cafe.naver.com/ranschool/26858,카페원문/26858.md,스토리카드/26858.md,32,3,0,카페 HTML·텍스트 보관
EPR-CAFE-26359,26359,블로그 제목 55초컷 '봇' 개발 (7월 위너스클럽 혜택),2024-06-28,주는사란,도구 개발 기록,제목·AI·작업시간,제목 도구와 유형화의 시도. 도구가 고객 이해나 기획을 대신했다는 결론을 덧붙이지 않는다.,https://cafe.naver.com/ranschool/26359,카페원문/26359.md,스토리카드/26359.md,20,4,0,카페 HTML·텍스트 보관
EPR-CAFE-26276,26276,마케팅대행 영업자료 (1),2024-06-26,주는사란,영업 자료·양식,진단·상담·리드,무료 진단 자료를 통해 상담 접점을 만드는 방식. 양식 제공과 실제 계약 성과를 구분한다.,https://cafe.naver.com/ranschool/26276,카페원문/26276.md,스토리카드/26276.md,34,4,0,카페 HTML·텍스트 보관
EPR-CAFE-26168,26168,"마케팅대행, 연차별 시급 변화표",2024-06-24,주는사란,가정 계산·의견,단가·서비스범위·생산성,업무 숙련과 제공 범위가 단가에 미치는 관계를 설명하는 자료. 연차별 시급은 보장된 통계가 아닌 조건부 계산이다.,https://cafe.naver.com/ranschool/26168,카페원문/26168.md,스토리카드/26168.md,75,13,0,카페 HTML·텍스트 보관
EPR-CAFE-26016,26016,계약 전 상담 예시글 (1),2024-06-19,주는사란,상담 예시,문제진단·비용·제안,고객과 비용 대비 효과를 논의하는 상담 구조. 실제 본인 계약으로 사용하지 않으며 원문 계산 수치는 재검산한다.,https://cafe.naver.com/ranschool/26016,카페원문/26016.md,스토리카드/26016.md,55,1,0,카페 HTML·텍스트 보관
EPR-CAFE-25990,25990,수익화 못하지 못하도록 하는 '봇' 개발중,2024-06-18,주는사란,개발 계획,AI·실행지원·교육,실행을 돕는 도구 구상과 개발 중 기록. 완성된 제품·확인된 성과로 소개하지 않는다.,https://cafe.naver.com/ranschool/25990,카페원문/25990.md,스토리카드/25990.md,12,2,0,카페 HTML·텍스트 보관
EPR-CAFE-25967,25967,부러워 미칠것 같을 때,2024-06-17,주는사란,개인 성찰,비교·성장·노력,타인의 결과를 부러워하는 감정과 자신의 투입을 돌아보는 글. 고객사 성공의 객관적 조건으로 일반화하지 않는다.,https://cafe.naver.com/ranschool/25967,카페원문/25967.md,스토리카드/25967.md,11,0,0,카페 HTML·텍스트 보관
EPR-CAFE-25878,25878,부업 할 때마다 돈 못 버는 사람 특,2024-06-14,주는사란,직접 경험·의견,이자카야·실패·마케팅,마케팅을 갖추지 못한 사업 경험과 부채 이야기. 사업 시작과 고객 확보 준비의 관계를 설명할 때 사용한다.,https://cafe.naver.com/ranschool/25878,카페원문/25878.md,스토리카드/25878.md,24,0,0,카페 HTML·텍스트 보관
EPR-CAFE-25856,25856,똑바로 하는건가 싶을때,2024-06-13,주는사란,타인 사례·성찰,습관·변화·선택,친구의 변화 사례를 통해 기존 행동을 바꾸는 어려움을 설명한다. 본인 사업 성과로 전환하지 않는다.,https://cafe.naver.com/ranschool/25856,카페원문/25856.md,스토리카드/25856.md,20,2,0,카페 HTML·텍스트 보관
EPR-CAFE-25827,25827,월천만원 넘길 사람과 아닌 사람,2024-06-12,주는사란,직접 경험·의견,고객정보·판매·실력,부동산 등 경험에서 시험식 지식과 판매 상황의 차이를 본 관점. 수입 기준을 보편적인 판별법으로 쓰지 않는다.,https://cafe.naver.com/ranschool/25827,카페원문/25827.md,스토리카드/25827.md,24,0,0,카페 HTML·텍스트 보관
EPR-CAFE-25764,25764,일한만큼 돈을 못 받는 이유,2024-06-11,주는사란,의견·방법론,책임·가격·가치,투입 시간뿐 아니라 맡는 책임과 제공 가치를 가격과 연결하는 논리적 참고 자료다.,https://cafe.naver.com/ranschool/25764,카페원문/25764.md,스토리카드/25764.md,21,1,0,카페 HTML·텍스트 보관
EPR-CAFE-25726,25726,고객관리를 잘한다는 것,2024-06-10,주는사란,개인 관계 사례,관계·오해·응대,일상에서 상대를 잘못 판단한 이야기를 고객 이해에 연결한 글. 실제 고객 불만 처리 사례로 바꾸지 않는다.,https://cafe.naver.com/ranschool/25726,카페원문/25726.md,스토리카드/25726.md,7,0,0,카페 HTML·텍스트 보관
EPR-CAFE-25695,25695,AI시대에서 돈 버는 법,2024-06-09,주는사란,직접 경험,AI·문제정의·외주,엑셀 외주와 AI로 수식을 구한 경험. 실행 기술보다 문제를 구체적으로 설명하는 능력을 논의할 때 활용한다.,https://cafe.naver.com/ranschool/25695,카페원문/25695.md,스토리카드/25695.md,11,1,0,카페 HTML·텍스트 보관
EPR-CAFE-25653,25653,내 도전이 응원받지 못할 때,2024-06-07,주는사란,혼합 사례·성찰,도전·공동체·지지,도전을 지지받지 못하는 상황에 대한 생각. 도입의 타인 가족 이야기를 본인의 가족 경험으로 오인하지 않는다.,https://cafe.naver.com/ranschool/25653,카페원문/25653.md,스토리카드/25653.md,15,10,0,카페 HTML·텍스트 보관
EPR-CAFE-25591,25591,목표를 못 이루는 이유,2024-06-05,주는사란,의견·예시,목표·행동·통제가능성,원하는 결과와 직접 실행할 수 있는 행동을 구분하는 자료. 고객 목표를 업무로 구체화할 때 참고한다.,https://cafe.naver.com/ranschool/25591,카페원문/25591.md,스토리카드/25591.md,6,0,0,카페 HTML·텍스트 보관
EPR-CAFE-25558,25558,문제가 생겼을 때 대처하는 법,2024-06-04,주는사란,일상 경험·가정 예시,문제해결·정보·고객응대,문제가 생겼을 때 비난보다 필요한 정보를 찾는 관점. 고객 사진·대금 등의 예시는 실제 사건 여부를 유지한다.,https://cafe.naver.com/ranschool/25558,카페원문/25558.md,스토리카드/25558.md,16,2,0,카페 HTML·텍스트 보관
EPR-CAFE-25534,25534,토요일에 '이것'을 몰라 3만원 날렸어요ㅠㅠ,2024-06-03,주는사란,일상 경험,정보부족·문제정의,필요한 정보를 몰라 비용을 쓴 장면. 진단 전 정보 확인의 비유이며 의료적 조언으로 쓰지 않는다.,https://cafe.naver.com/ranschool/25534,카페원문/25534.md,스토리카드/25534.md,5,3,0,카페 HTML·텍스트 보관
EPR-CAFE-25443,25443,마음이 조급할 때,2024-05-31,주는사란,직접 경험·성찰,부채·자산·조급함,이자카야 부채와 토지 관련 부담을 돌아본 기록. 자산 보유와 현금 흐름·이익은 다른 수치로 취급한다.,https://cafe.naver.com/ranschool/25443,카페원문/25443.md,스토리카드/25443.md,7,0,0,카페 HTML·텍스트 보관
EPR-CAFE-25412,25412,퇴사하고 싶을 때,2024-05-30,주는사란,직접 경험·의견,실패·역량·사업준비,퇴사 충동보다 기술과 마케팅 역량을 점검하자는 생각. 본인 실패 배경은 유지하되 타인에게 같은 선택을 강요하지 않는다.,https://cafe.naver.com/ranschool/25412,카페원문/25412.md,스토리카드/25412.md,7,0,0,카페 HTML·텍스트 보관
EPR-CAFE-25378,25378,불편한 말을 지혜롭게 듣는 방법,2024-05-29,주는사란,의견,피드백·소통·고객관계,불편한 말의 문자 그대로와 의도를 구분하는 관점. 다른 성향의 고객과 일할 때 참고한다.,https://cafe.naver.com/ranschool/25378,카페원문/25378.md,스토리카드/25378.md,18,0,0,카페 HTML·텍스트 보관
EPR-CAFE-25343,25343,기회를 놓쳤을때 보세요.,2024-05-28,주는사란,직접 경험,기회·이자카야·선택,20대에 받은 사업 제안을 돌아본 글. 제안·선택·이후 결과는 원문 순서대로 확인해 사용한다.,https://cafe.naver.com/ranschool/25343,카페원문/25343.md,스토리카드/25343.md,9,2,0,카페 HTML·텍스트 보관
EPR-CAFE-25334,25334,좌절되는 순간 보세요.,2024-05-27,주는사란,일상 경험·성찰,연습·성과·개선,볼링 연습 경험에서 노력과 당장의 결과 차이를 본 기록. 마케팅 실험의 비유로 한정한다.,https://cafe.naver.com/ranschool/25334,카페원문/25334.md,스토리카드/25334.md,23,2,0,카페 HTML·텍스트 보관
EPR-CAFE-25256,25256,일상 생각을 적는 이유,2024-05-25,주는사란,직접 경험,기록·성찰·판단축적,일상 생각을 꾸준히 적은 이유. 대행 경험을 다음 판단에 활용할 기록으로 남기는 설명에 참고한다.,https://cafe.naver.com/ranschool/25256,카페원문/25256.md,스토리카드/25256.md,11,0,0,카페 HTML·텍스트 보관
EPR-CAFE-24659,24659,스팸문자도 이렇게까지 합니다.,2024-05-10,주는사란,외부 메시지 분석·예시,영업문구·고객상황·진단,문자 제안의 구조를 분석한 자료. 원치 않는 메시지 발송을 지시한 것으로 확대하지 않는다.,https://cafe.naver.com/ranschool/24659,카페원문/24659.md,스토리카드/24659.md,31,4,0,카페 HTML·텍스트 보관
EPR-CAFE-24637,24637,딱 한 분을 찾습니다.,2024-05-09,주는사란,모집 공지,수요확인·커뮤니티,특정 대상을 찾는 모집 글. 제안 대상과 반응을 확인하는 운영 자료로 보존한다.,https://cafe.naver.com/ranschool/24637,카페원문/24637.md,스토리카드/24637.md,13,3,0,카페 HTML·텍스트 보관
