id,title,type,source_file,line,scene,b2b,limits,card
EPR-NOTION-S15,문의가 있어도 사람이 없어 못 받은 계약,직접 경험 요약,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/1편 주는사란의 마케팅부업 입문기 4dd8468779ee82c3903101b575c2a16d.md,78,분양대행 시절 블로그로 계약 기회를 얻었지만 사람이 없어 받지 못했다고 기록했다.,수요 확보와 수행 능력이 서로 다른 문제라는 사례.,본문의 짧은 진술 이상으로 인력 수·계약 조건을 만들지 않는다.,노션스토리카드/EPR-NOTION-S15.md
EPR-NOTION-S16,학원을 그만둔 뒤에도 들어온 수업 문의,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/1편 주는사란의 마케팅부업 입문기 4dd8468779ee82c3903101b575c2a16d.md,204,과거 블로그에서 학원 중단 이후에도 수업 문의가 왔다고 남겼다.,콘텐츠가 시간이 지난 뒤에도 고객 접점으로 남는 경험.,다른 문서에는 2026년 5월 9일 문의도 나온다. 같은 전화로 합치지 않는다.,노션스토리카드/EPR-NOTION-S16.md
EPR-NOTION-S17,조회수보다 대행 문의를 목표로 만든 채널,채널 운영 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/리즈 코치 소개 영상 대본 3dc8468779ee81e1ae8ef476a34a4f09.md,54,주는사란과 마케팅1타의 대상·목표가 달랐고 작은 조회수에서도 대행 문의를 받았다고 설명한다.,회사 채널의 성과 기준을 단순 조회수가 아니라 필요한 고객의 행동에 맞추는 논리.,적은 조회수가 오히려 항상 유리하다고 일반화하지 않는다.,노션스토리카드/EPR-NOTION-S17.md
EPR-NOTION-S18,혼자 미용실을 운영하며 마케팅까지 하기 어려웠다,가족 사례,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/리즈 코치 소개 영상 대본 3dc8468779ee81e1ae8ef476a34a4f09.md,143,여동생의 1인 미용실 상황을 직접 언급하며 업무 시간 부족을 설명한다.,고객사 대표가 본업과 마케팅 실행을 동시에 감당하기 어려운 조건을 이해하는 사례.,동생의 사례와 앞뒤 가정·예시 금액을 분리한다.,노션스토리카드/EPR-NOTION-S18.md
EPR-NOTION-S19,새 글을 쉬어도 예전 글에서 문의가 왔다,수강생 사례,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/3편 마케팅부업 3단계 테크트리 3cb8468779ee829eb54a016a85c71de3.md,229,"21개 글과 문의·계약·입금, 마지막 발행 후에도 이전 글로 들어온 문의를 소개한다.",콘텐츠 축적과 전환 경로를 추적하는 참고 사례.,본인 수주로 바꾸지 않고 모든 업종에 21개면 된다고 약속하지 않는다.,노션스토리카드/EPR-NOTION-S19.md
EPR-NOTION-S20,구매 이후의 행동까지 도운 건강기능식품 마케팅,대행 경험·저자 해석,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/5편 자주 묻는 질문 모음집 5068468779ee839fb34e817460f4b1bc.md,286,구매자에게 운동·식단을 안내한 뒤 효과와 매출이 올랐다고 회고한다.,구매 직전 설득뿐 아니라 구매 후 사용 경험도 살핀다는 서비스 관점.,보조제의 의학적 효능이나 고객 전체의 인과를 검증한 자료가 아니다.,노션스토리카드/EPR-NOTION-S20.md
EPR-NOTION-S21,고객 대상 강의에서 대행 교육으로 바뀐 계기,직접 경험·회고,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/5편 자주 묻는 질문 모음집 5068468779ee839fb34e817460f4b1bc.md,302,처음엔 대행이 필요한 사업자를 위해 강의를 열었으나 대행을 배우려는 수요를 만났다고 설명한다.,처음 기획한 대상과 실제 반응을 비교하며 상품의 방향을 조정한 경험.,다른 소개 대본의 팀원 모집 목적과 시점을 확인하기 전 하나로 단정하지 않는다.,노션스토리카드/EPR-NOTION-S21.md
EPR-NOTION-S22,강의를 계속 고치며 실행을 돕고 싶었던 이유,직접 경험·운영 의도,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/5편 자주 묻는 질문 모음집 5068468779ee839fb34e817460f4b1bc.md,362,강의를 반복 개편한 투입과 수강생이 내용을 쓰길 바라는 마음을 설명한다.,서비스를 판매한 뒤 실제 고객 행동과 사용 결과까지 보는 관점.,수강생 수·기간은 문서별 차이를 보존하고 현재 숫자로 단정하지 않는다.,노션스토리카드/EPR-NOTION-S22.md
EPR-NOTION-S23,채널보다 먼저 정하는 기획,논리·방법론,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/2편 마케팅부업 소개 8258468779ee8389a17f81aa82538399.md,190,누구에게 무슨 말을 해서 무엇을 하게 할지 정한 뒤 글과 채널을 고른다.,대행 제안을 매체 목록이 아닌 고객 행동 설계로 설명할 때 활용.,원저자의 방법론이며 모든 실행 효과를 보장하는 검증 법칙은 아니다.,노션스토리카드/EPR-NOTION-S23.md
EPR-NOTION-S24,대행사의 고객과 고객사의 고객을 구분하기,설명용 비교,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/3편 마케팅부업 3단계 테크트리 3cb8468779ee829eb54a016a85c71de3.md,509,"대행사 블로그는 사장님을, 고객사 블로그는 학부모를 독자로 삼는 표가 있다.",누구의 계정에서 누구를 설득하고 어떤 문의를 받을지 구분하는 논리.,유진원장·부퇴사 수학학원은 설명용 가정이다.,노션스토리카드/EPR-NOTION-S24.md
EPR-NOTION-S25,영상 제작과 광고 운영의 책임 범위,서비스 역할 설명,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/4편 요즘 브랜드사들은 여기에 돈을 씁니다 6b38468779ee834f8f7c8183a12c9e0e.md,77,이 글은 광고에 들어갈 영상을 만드는 역할을 광고 운영과 구분한다.,고객에게 약속한 결과물·운영·측정의 책임 범위를 명료하게 정하는 관점.,퍼포먼스 입문서의 업로드·분석 포함 범위와 다르므로 같은 계약 조건으로 합치지 않는다.,노션스토리카드/EPR-NOTION-S25.md
EPR-NOTION-S26,아직 작성 중인 코칭 여정,미완성 계획,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/6편 주는사란과 함께하는 여정 (작성중) b318468779ee8225b50581a4b8c3c0e2.md,13,수정 필요 문구와 빈 보완 표시가 있는 교육 안내 초안이다.,구체적 서비스 운영을 논의할 참고로 보관하고 실제 운영 사례에서는 제외.,미완성 안내를 확정된 제공 항목이나 성과 약속으로 쓰지 않는다.,노션스토리카드/EPR-NOTION-S26.md
