id,video_id,영상제목,영상URL,상태,대본제목,대본파일,노션URL,업로드기록파일,연결자료파일,대응근거
EPR-YT-011,oJBq72YXbTw,"연매출 1000억대 대표 3명이 말한, 사업하기 전 알았으면 좋았을 3가지",https://www.youtube.com/watch?v=oJBq72YXbTw,영상링크 일치,미리 알았으면 - 대본1차,대본/2a284687-79ee-8089-972b-c563e40bc3d6.md,https://app.notion.com/p/bootoesa/2a28468779ee8089972bc563e40bc3d6,대본/2a284687-79ee-80c9-9eee-d0be5083f877.md,대본/2a284687-79ee-8040-8e9c-e4363c630d48.md;대본/2a284687-79ee-80f8-8f56-c913b9a8dec6.md;대본/2a284687-79ee-8089-972b-c563e40bc3d6.md;대본/2b084687-79ee-806c-abd9-f333105bd28a.md;대본/2b084687-79ee-80c3-b2c3-eaf6871f765c.md;대본/2b784687-79ee-806e-9260-d9b28977e3e5.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
EPR-YT-012,GGvsasyrBDQ,(심화 5강) 천억대 회사 퍼포먼스 광고비 사용법,https://www.youtube.com/watch?v=GGvsasyrBDQ,영상링크 일치,연매출 1000억 이상 - 대본1차,대본/29a84687-79ee-8076-a1e5-cf5be1dfb982.md,https://app.notion.com/p/bootoesa/29a8468779ee8076a1e5cf5be1dfb982,대본/29a84687-79ee-8080-a42b-c208c45981cd.md,대본/29a84687-79ee-806b-85a6-d0ee355c81bc.md;대본/29a84687-79ee-8001-add6-c0d95bc22139.md;대본/29a84687-79ee-8076-a1e5-cf5be1dfb982.md;대본/29f84687-79ee-8083-952d-c25530d026e0.md;대본/29f84687-79ee-80a0-8d76-fbaf0f0d137a.md;대본/2a484687-79ee-80a8-b69c-ec07096242d2.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
EPR-YT-013,PLIOOo1XAaM,"2026년부터 AI 때문에 매출이 점점 아작날 수 있습니다. (네이버 쇼핑 검색어 노출, 쿠팡 광고, 블로그 상위노출, 유튜브 인스타 퍼포먼스 광고)",https://www.youtube.com/watch?v=PLIOOo1XAaM,영상링크 일치,제로클릭시대 - 대본_1차,대본/27984687-79ee-80f7-8700-edbc51c5a797.md,https://app.notion.com/p/bootoesa/2798468779ee80f78700edbc51c5a797,대본/27984687-79ee-8073-acef-e6b40172cc45.md,대본/27984687-79ee-80b2-af9b-fc523a8bb95b.md;대본/27984687-79ee-80e0-a613-f79af1c01f60.md;대본/27984687-79ee-803a-b938-dd917de7c257.md;대본/27984687-79ee-80f7-8700-edbc51c5a797.md;대본/28084687-79ee-803e-92b9-e6d391318be7.md;대본/28084687-79ee-80ca-968f-e58d2ed1356e.md;대본/28084687-79ee-8002-93b1-daa7150f9ee5.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
EPR-YT-014,iq_c8n6_niA,"작은 회사에서 직원문제를 해결할 수 있는 의외의 도구 (ai,노션)",https://www.youtube.com/watch?v=iq_c8n6_niA,영상링크 일치,풀링_직원표정 - 대본,대본/25684687-79ee-80dc-93b4-ebed02728660.md,https://app.notion.com/p/bootoesa/2568468779ee80dc93b4ebed02728660,대본/25584687-79ee-8096-a127-c0a8eb603a8c.md,대본/25584687-79ee-8062-8a16-ea6838e37a6e.md;대본/25584687-79ee-809e-8b07-e0aee12c2c8d.md;대본/25684687-79ee-8085-afb2-df8c059e44a9.md;대본/25684687-79ee-80dc-93b4-ebed02728660.md;대본/25684687-79ee-801d-ac27-cfb9f8b2d8bc.md;대본/25684687-79ee-80ff-9cd9-d936eb22b674.md;대본/25684687-79ee-800b-a93a-e239d713dc67.md;대본/25a84687-79ee-806b-92f7-ebdb4660c364.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
EPR-YT-015,Fh-3RI1Smco,(심화 4강) 객단가 높이기,https://www.youtube.com/watch?v=Fh-3RI1Smco,대응,0원에서 월매출 1억까지 [작0527/업],대본/1fb84687-79ee-804b-b0e6-ff2b513053e3.md,https://app.notion.com/p/bootoesa/1fb8468779ee804bb0e6ff2b513053e3,,,본문에 월매출 1억 4강·객단가 높이기 명시. 페이지 제목은 0원에서 월매출1억이지만 실제 본문은 객단가 강의
EPR-YT-016,qecbkhyqO_8,(심화3강) 순수익 비율 개선하기,https://www.youtube.com/watch?v=qecbkhyqO_8,후보,3년전부터 조용한 부자들만 쓴다는 [작0409/업0416],대본/1d084687-79ee-80e8-8697-cb2348a62536.md,https://app.notion.com/p/bootoesa/1d08468779ee80e88697cb2348a62536,,,"구독자17만 채널과1040명 채널 수익 비교·조회수와 매출의 차이. 순수익 강의 대응 후보, 최종영상 대조 필요"
EPR-YT-017,EbAxTgaW0uk,(심화2강) 입소문 내기,https://www.youtube.com/watch?v=EbAxTgaW0uk,후보,여기까지만 버티세요 [작0318/업0319],대본/1ba84687-79ee-80bc-b63b-f782b56ec391.md,https://app.notion.com/p/bootoesa/1ba8468779ee80bcb63bf782b56ec391,,,고객 신뢰가 입소문으로 전환되는 구조·매출 증가 기획. 공개 제목과 달라 내용 기준 후보
EPR-YT-018,NA3Ub6mhGBM,"심화1강, 창업부터 월1억까지",https://www.youtube.com/watch?v=NA3Ub6mhGBM,후보,0원부터 연매출 12억 만드는 현실적인 방법[작0306/업0312],대본/1ad84687-79ee-807e-848d-c3da76772fa0.md,https://app.notion.com/p/bootoesa/1ad8468779ee807e848dc3da76772fa0,,,0원부터 연매출12억·월매출1억 성장 구조; 공개 제목과 달라 후보
EPR-YT-019,EKjo15BhinQ,인스타그램으로 하루 1시간만에 소상공인이 현실적으로 경쟁업체 이기는 방법,https://www.youtube.com/watch?v=EKjo15BhinQ,후보,"[가격설명영상] 모르면 97%는 당하는 마케팅 눈탱이 수법[작0114,0115,0117,0118,0120,0121 ,0122/업]",대본/17b84687-79ee-804f-8f1e-e47d12d85f62.md,https://app.notion.com/p/bootoesa/17b8468779ee804f8f1ee47d12d85f62,,,마케팅 시세 통합 대본 중 인스타 파트 후보; 분할 발행 여부 미확인
EPR-YT-020,26Za-t79C6M,10년차 자영업자가 알려주는 동네 손님 쓸어오는 S급 가성비 마케팅 2가지와 비용 확인하세요. 네이버 플레이스 및 당근마켓 활용을 적극 권해드립니다.,https://www.youtube.com/watch?v=26Za-t79C6M,후보,"[가격설명영상] 모르면 97%는 당하는 마케팅 눈탱이 수법[작0114,0115,0117,0118,0120,0121 ,0122/업]",대본/17b84687-79ee-804f-8f1e-e47d12d85f62.md,https://app.notion.com/p/bootoesa/17b8468779ee804f8f1ee47d12d85f62,,,마케팅 시세 통합 대본 중 플레이스·당근 파트 후보; 분할 발행 여부 미확인
EPR-YT-021,lFbbqrrUgjI,"마케팅을 해도 매출이 안나오는, 마케팅빨 안 받는 곳 특징 (극복방법 포함)",https://www.youtube.com/watch?v=lFbbqrrUgjI,대응,"마케팅전/후 [작0214,0215/업0223]",대본/19a84687-79ee-8047-b142-c785ee58f37b.md,https://app.notion.com/p/bootoesa/19a8468779ee8047b142c785ee58f37b,,,본문 기재 제목 마케팅빨 안 받는 곳 특징 일치
EPR-YT-022,PZxTQuRTnjU,블로그마케팅 해야할까? 체험단 부르기 전에 시세가격 먼저 확인하세요. 공짜손님 더이상 필요 없습니다,https://www.youtube.com/watch?v=PZxTQuRTnjU,후보,"[가격설명영상] 모르면 97%는 당하는 마케팅 눈탱이 수법[작0114,0115,0117,0118,0120,0121 ,0122/업]",대본/17b84687-79ee-804f-8f1e-e47d12d85f62.md,https://app.notion.com/p/bootoesa/17b8468779ee804f8f1ee47d12d85f62,,,마케팅 시세 통합 대본 중 블로그·체험단 파트 후보; 분할 발행 여부 미확인
EPR-YT-023,tCQ01WL2mY8,야망은 큰데 매출은 안 오른다면 이 영상 꼭 보세요,https://www.youtube.com/watch?v=tCQ01WL2mY8,대응,야망은 큰데 매출은 안 오른다면 이 영상 꼭 보세요. [작0211/업0214],대본/19784687-79ee-80c1-8a4f-d34695c6f11f.md,https://app.notion.com/p/bootoesa/1978468779ee80c18a4fd34695c6f11f,,,페이지 제목 야망은 큰데 매출은 안 오른다면 일치
EPR-YT-024,tIhCxSzMeG8,"유튜브 하나로 상권,학벌,포폴 없이도 개원하는 법(전문직유튜브마케팅편)",https://www.youtube.com/watch?v=tIhCxSzMeG8,후보,"[가격설명영상] 모르면 97%는 당하는 마케팅 눈탱이 수법[작0114,0115,0117,0118,0120,0121 ,0122/업]",대본/17b84687-79ee-804f-8f1e-e47d12d85f62.md,https://app.notion.com/p/bootoesa/17b8468779ee804f8f1ee47d12d85f62,,,마케팅 시세 통합 대본 중 전문직 유튜브 파트 후보; 분할 발행 여부 미확인
EPR-YT-025,GC6nUNDcM7M,10년차 자영업자가 정리해주는 재방문 올라가는 [매출130%🔼] 출근루틴,https://www.youtube.com/watch?v=GC6nUNDcM7M,대응,"매출이 ‘꾸준히’ 올라가는 자영업 출근 루틴[작0130,0131/업0204]",대본/18b84687-79ee-8022-8164-f5fee6291df3.md,https://app.notion.com/p/bootoesa/18b8468779ee80228164f5fee6291df3,,,본문 기재 제목 재방문 매출130% 출근루틴 일치
EPR-YT-026,dtGD8GsTRbA,동네손님 하루 10분안에 다 데리고 올수 있는 방법 (지역 자영업자 마케팅편),https://www.youtube.com/watch?v=dtGD8GsTRbA,대응,내일 예약이 없다면 몰래 따라하세요.[작0118/업0121],대본/17c84687-79ee-803c-a2fb-f395faaa79f3.md,https://app.notion.com/p/bootoesa/17c8468779ee803ca2fbf395faaa79f3,,,"동네손님·동생 미용실 스레드 예약 사례, 초안 제목 1분과 공개 제목 10분 차이"
EPR-YT-027,F6MVmWIQmQY,[엑셀 템플릿공유O]매출’확인’ 말고 매출’상승’까지 도와주는 “FUNNEL 매출관리법”,https://www.youtube.com/watch?v=F6MVmWIQmQY,대응,"이것 모르고 매출 정리하면 95%는 시간낭비입니다.[작0109,0113/업0117]",대본/17684687-79ee-80ed-9d55-d51bb48cae4b.md,https://app.notion.com/p/bootoesa/1768468779ee80ed9d55d51bb48cae4b,,,본문 기재 제목 FUNNEL 매출관리법 일치
EPR-YT-028,b2fnKaOI_xY,10년차 자영업자가 알려주는 S급 가성비 마케팅 티어리스트,https://www.youtube.com/watch?v=b2fnKaOI_xY,대응,"자영업자에게 절대 안 알려주는 가성비 마케팅순위[작0101,0102/업0108]",대본/16e84687-79ee-8080-89e1-d11b2bba5b95.md,https://app.notion.com/p/bootoesa/16e8468779ee808089e1d11b2bba5b95,,,가성비 마케팅 티어리스트 S급 등급 분류
EPR-YT-029,nJkf5VGclMI,‘지하철역 5분거리’도 망했습니다. 상가 월세 호구 안 당하는 법 (’ㄷㅅ’만 알면 됩니다),https://www.youtube.com/watch?v=nJkf5VGclMI,대응,"월세만 비싼 매번 망하는 자리[작1224,1226/업0102]",대본/16684687-79ee-8027-8569-e624be49bc1b.md,https://app.notion.com/p/bootoesa/1668468779ee80278569e624be49bc1b,,,본문 기재 제목 지하철역 5분·상가 월세 동선 일치
EPR-YT-030,rCGGFhlilSU,사장들이 놓치는 객단가 높일수 있는 기회 2가지,https://www.youtube.com/watch?v=rCGGFhlilSU,대응,고객이 이러면 진짜 100%입니다[작1210/업1223],대본/15884687-79ee-8059-b8bf-f0cb84aba371.md,https://app.notion.com/p/bootoesa/1588468779ee8059b8bff0cb84aba371,,,객단가 높이는 법·고객의 재구매 신호
EPR-YT-031,uopijqnhksQ,"요즘 똑똑한 사장님들이 정치,사회,경제 이슈에도 매출 살리는 3단계 전략",https://www.youtube.com/watch?v=uopijqnhksQ,대응,코로나 / 계엄 자영업자 대처법 [업1219],대본/15b84687-79ee-8022-9619-c189c0cd9da1.md,https://app.notion.com/p/bootoesa/15b8468779ee80229619c189c0cd9da1,,,본문 기재 제목 정치 사회 경제 이슈 3단계 일치
EPR-YT-032,gXLl4f1zuO8,예약금 없이도 노쇼 함부로 못하게 만드는 2가지 장치 (10년차 자영업자의 예약부도 대처 노하우),https://www.youtube.com/watch?v=gXLl4f1zuO8,대응,노쇼한 고객 미치게 만드는 방법 [작1202/업1216],대본/14e84687-79ee-8079-91fe-dbbb6eca710a.md,https://app.notion.com/p/bootoesa/14e8468779ee807991fedbbb6eca710a,,,본문 기재 제목 노쇼 대처 2가지 장치 일치
EPR-YT-033,INVEkZhgLY8,하필 폭락하고 있는 자영업자만 모르는 현실 이야기,https://www.youtube.com/watch?v=INVEkZhgLY8,대응,"자영업, 소름돋는 환상과 폭락신호 [작1205/업1211]",대본/15284687-79ee-8076-bf6a-d99823df447c.md,https://app.notion.com/p/bootoesa/1528468779ee8076bf6ad99823df447c,,,자영업 환상과 폭락 현실·이자카야 실패 사례
EPR-YT-034,xjIlLz0vdUM,병원 개원한 뒤로는 어쩔수 없이 이렇게 됩니다.,https://www.youtube.com/watch?v=xjIlLz0vdUM,대응,"개원한 의사 90%가 2년차에 하는 후회 [작1118,1121/업1206]",대본/14284687-79ee-80e9-b919-df8c9f52a7c7.md,https://app.notion.com/p/bootoesa/1428468779ee80e9b919df8c9f52a7c7,,,개원 2~3년차 고민·상권 설비 브랜딩 운영시스템
EPR-YT-035,q7ZwjESwcgM,매출 1억 이하 원장님은 모르는 내용입니다. (2025년 병원 온라인/오프라인마케팅 총정리),https://www.youtube.com/watch?v=q7ZwjESwcgM,대응,요즘 돈 버는 병의원 이렇게 합니다. [작1114-1118/업1123],대본/13b84687-79ee-8030-8e0a-ca91c142af59.md,https://app.notion.com/p/bootoesa/13b8468779ee80308e0aca91c142af59,,,본문 기재 제목 월매출 1억 이하 원장님·병원 마케팅 총정리
EPR-YT-036,VUqa0dcTqL8,(기초3강) 가게 살리는 법,https://www.youtube.com/watch?v=VUqa0dcTqL8,대응,"[3강] 폐업 직전, 정신차리고 ‘이것’ 했더니 고객이 줄서기 시작했습니다.",대본/12484687-79ee-805b-bb3f-eb3e0a653200.md,https://app.notion.com/p/bootoesa/1248468779ee805bbb3feb3e0a653200,,,기초3강·폐업 경험에서 가게 살리는 방법
EPR-YT-037,FD3NSH7F10Y,(기초2강) 매출 마이너스 탈출 하는 법,https://www.youtube.com/watch?v=FD3NSH7F10Y,대응,[2강] 가만히 있으면 매출 절대 안오릅니다.,대본/2c31b53a-bead-4f82-b264-c034f7a6ddac.md,https://app.notion.com/p/bootoesa/2c31b53abead4f82b264c034f7a6ddac,,,기초2강·공부방 전단지 경험과 매출 개선
EPR-YT-038,ntqWs0SHhqI,성심당으로 보는 자영업 성공/확장전략,https://www.youtube.com/watch?v=ntqWs0SHhqI,대응,(2) 성심당은 왜 대전에서만 할까?[작1014/업241025],대본/11d84687-79ee-80e5-bd19-f30ac251f75c.md,https://app.notion.com/p/bootoesa/11d8468779ee80e5bd19f30ac251f75c,,,성심당 대전 한정 운영과 확장 전략
EPR-YT-039,1Tv2ES1WVxk,이름 하나에 11억? 자영업자가 브랜딩하는 법,https://www.youtube.com/watch?v=1Tv2ES1WVxk,대응,(1) 왜 역이름 하나에 11억이나 쓸까? [작 1012/업241021],대본/10b84687-79ee-80cd-8c1b-d808867e3383.md,https://app.notion.com/p/bootoesa/10b8468779ee80cd8c1bd808867e3383,,,역명 11억·브랜딩 사례
EPR-YT-040,GticofkIRVo,불꽃축제로 배우는 자영업자의 마케팅 전략,https://www.youtube.com/watch?v=GticofkIRVo,대응,(1) 한화는 왜 매년 100억짜리 불꽃축제를할까 [작1011/업1015],대본/11884687-79ee-808e-81ed-d8cf283fa999.md,https://app.notion.com/p/bootoesa/1188468779ee808e81edd8cf283fa999,,,한화 불꽃축제의 마케팅 전략
EPR-YT-041,-wUZefm6-m0,절대 사기 안 당하는 인수인계 확인법 (권리금 산정 기준),https://www.youtube.com/watch?v=-wUZefm6-m0,대응,"(4)잘돼서 내놓는다는 말 믿어도 될까? [작0914,0916/업]",대본/10184687-79ee-80c5-b482-c9970dc8b094.md,https://app.notion.com/p/bootoesa/1018468779ee80c5b482c9970dc8b094,,,본문 기재 제목이 인수인계 확인법·권리금 기준
EPR-YT-042,h9SpUQc5DUU,가격은 어떻게 정해질까? 사업 천재들만 아는 더 비싸게 파는 법 (feat.흑백요리사),https://www.youtube.com/watch?v=h9SpUQc5DUU,대응,(2) 충격적인 흑백요리사 출연진 음식가격 [작1004/업1008],대본/11484687-79ee-8043-8021-dc08f79b8108.md,https://app.notion.com/p/bootoesa/1148468779ee80438021dc08f79b8108,,,본문 기재 제목 및 흑백요리사 가격 사례 일치
EPR-YT-043,Fr2agyRZPYE,"2025년 최저시급 인상, 사장보다 알바가 더 나을까?",https://www.youtube.com/watch?v=Fr2agyRZPYE,대응,(5) 진짜 사장보다 알바가 더 나을까? [작0903/업1005],대본/43a5f400-a2d8-4ca2-af5d-aca392f365bf.md,https://app.notion.com/p/bootoesa/43a5f400a2d84ca2af5daca392f365bf,,,2025년 최저시급·사장과 알바 수익 비교
EPR-YT-044,8OKHRhDG93c,의사 자격증이 없어도 병원을 차릴수 있다고?,https://www.youtube.com/watch?v=8OKHRhDG93c,대응,(1) 의사 자격증 없어도 병원을 차릴수 있다고?  [작0821/업0927],대본/fff84687-79ee-8075-ab82-edc6b2757326.md,https://app.notion.com/p/bootoesa/fff8468779ee8075ab82edc6b2757326,,,의사 자격증 없이 병원 제목 일치
EPR-YT-045,4oGe-ZhwO5g,6개월안에 땅을 치고 후회할 프랜차이즈의 조건 (연돈볼카츠 논란 분석),https://www.youtube.com/watch?v=4oGe-ZhwO5g,대응,(4) 6개월 안에 땅치고 후회할 프랜차이즈의 조건[작0731/업0809],대본/93637839-b9f0-4101-b0d2-fc3defff9418.md,https://app.notion.com/p/bootoesa/93637839b9f04101b0d2fc3defff9418,,,프랜차이즈 제목과 연돈볼카츠 분석 일치
EPR-YT-046,bUvk60bDS6U,골목식당 중 연돈은 뭐가 달랐을까?,https://www.youtube.com/watch?v=bUvk60bDS6U,대응,(1)연돈 [작0719/업0801],대본/977301ec-c920-4768-9943-01de3447f9c1.md,https://app.notion.com/p/bootoesa/977301ecc9204768994301de3447f9c1,,,연돈 성공 사례와 골목식당 비교
EPR-YT-047,tJJZRZ-O_gk,"‘바가지’ 화낼 필요 없습니다. 제주도, 광장시장 논란으로 시간 낭비하지마세요.",https://www.youtube.com/watch?v=tJJZRZ-O_gk,대응,(1) 바가지 [작0715/업0729],대본/a6334211-8941-4971-b950-4b721123c570.md,https://app.notion.com/p/bootoesa/a633421189414971b9504b721123c570,,,본문 기재 제목 바가지 제주도 광장시장 일치
EPR-YT-048,RRU3O19fK_E,(기초1강) 온라인마케팅 하는 법,https://www.youtube.com/watch?v=RRU3O19fK_E,대응,[1강] 월 순수익 500만원 이하는 보지마세요,대본/c8bce944-0cbd-4eb0-aeef-8fea49403ec0.md,https://app.notion.com/p/bootoesa/c8bce9440cbd4eb0aeef8fea49403ec0,,,기초1강·업종별 마케팅 가중치와 온라인 마케팅 강의 도입
