강의번호,시트제목,촬영담당,강의역할,필수내용1,필수내용2,필수내용3,범위,결과물,직원추가자료,원천ID,BPT상태
1-4,손익 진단,이세란,매출과 이익을 구분하고 상품·고객획득의 비용을 계산한다.,매출에서 상품 제공과 판매에 들어간 비용을 나누어 확인한다.,"첫 구매의 공헌과 고객획득 비용, 비용 회수 시점을 구분한다.",광고 지표가 좋아도 회사 전체 이익이나 현금 상황이 다를 수 있는 이유를 진단한다.,회계·세무 자문으로 확장하지 않고 교육용 비용 정의와 가정을 명확히 한다.,손익·회수표,원가·수수료·광고비·환불·입금 시점이 있는 예시 데이터,M02 M03 Q009,미확정
1-5,가장 큰 병목과 우선순위 찾기,권기동,막힌 구간의 원인 가설과 먼저 바꿀 한 가지를 정한다.,매출이 낮다는 결과를 고객 이동 경로의 구체적 단절로 바꿔 본다.,유입 부족·관심 부족·구매 저항·제공 문제를 데이터와 고객 정보로 구분한다.,영향·검증 가능성·자원·손실 한도를 비교해 먼저 확인할 병목 하나를 고른다.,전환율이 가장 낮은 단계가 무조건 첫 병목이라는 규칙은 만들지 않는다.,병목·우선순위표,병목 후보별 데이터·고객 반응·실험 비용,S01 Q011 Q009,미확정
1-6,3개월·1년 시나리오,권기동,현재 값과 개선 가정을 분리해 조건별 결과를 계산한다.,현재 숫자를 기준으로 유입·전환·객단가·재구매 등 가정을 나눈다.,3개월의 실행·학습과 1년의 누적 가능성을 구분하고 여러 경우를 계산한다.,가정이 달라졌을 때 계획을 수정할 조건과 관찰할 지표를 정한다.,성장 예측을 보장으로 제시하지 않는다. 실제 90일 실행계획은 11-5에서 통합한다.,3개월·1년 시나리오,"현재값과 상·중·하 가정, 인력·예산 제한",M02 M03 G013,미확정
2-1,마케팅적 상품기획,권기동,고객이 원하는 결과와 구매·사용 장애물로 상품을 기획한다.,고객의 해결할 문제와 원하는 결과를 먼저 정하고 경쟁 대안을 확인한다.,문제 해결을 막는 장애물과 회사가 제공할 수 있는 해결 수단을 연결한다.,고객 가치와 제공 가능성을 함께 검토해 상품의 핵심 구성을 선택한다.,"모든 기능을 넣거나 광고 문구부터 정하지 않는다. 가격은 2-2, 표현은 2-3으로 넘긴다.",고객 문제·해결·상품표,상품 설명·고객 질문·경쟁 상품·운영 제약,M01 Q005 Q011,미확정
2-2,가격과 상품 구성,권기동,가치·제공 원가·후속 제안을 함께 보고 가격과 구성을 정한다.,상품의 핵심 제공 범위와 추가 제공물을 구분한다.,고객이 느끼는 가치와 회사의 제공 비용·수용량을 함께 비교해 가격안을 세운다.,단일 상품·묶음·단계별 상품의 차이를 고객 선택과 운영 부담으로 설명한다.,업셀 시퀀스와 구독 요금제 상세는 CH06·CH08로 넘긴다.,가격·구성표,원가·제공 시간·가격안·경쟁 대안,M01 S01 M03,미확정
2-3,USP 짜는 법,권기동,고객이 구분할 선택 이유를 정하고 증명할 근거를 붙인다.,고객이 대안 대신 우리 상품을 선택할 이유를 한 문장으로 정리한다.,원하는 결과·신뢰 근거·소요 시간·노력의 차이에서 실제 차별점을 찾는다.,표현한 약속마다 증명 자료와 적용 조건을 대조해 과장된 주장을 줄인다.,USP를 멋있는 슬로건만 만드는 작업으로 끝내지 않는다.,USP·증거표,고객 언어·제품 차이·검증 자료·기존 문구,M01 S03 Q011,미확정
2-4,USP에 맞는 채널 계획,권기동,고객이 있는 곳과 USP를 설명할 형식에 맞춰 채널을 고른다.,고객이 문제를 인식하고 대안을 비교하는 장소와 상황을 찾는다.,USP를 설명하는 데 필요한 정보량·증거 형식과 채널 특성을 연결한다.,먼저 검증할 접점과 그 접점에서 유도할 다음 행동을 정한다.,CH09에서 다룰 집행법까지 확장하지 않고 상품과 채널의 적합성을 정한다.,채널 선택표,현재 고객 유입 경로와 사용 가능한 채널·소재,S02 M02 Q005,미확정
3-1,DB가 있을 때와 없을 때,이세란,다시 연락할 관계가 남는 경우와 매번 새로 유입해야 하는 경우를 비교한다.,한 번의 방문과 이후 다시 연락할 수 있는 관계의 차이를 설명한다.,고객 목록이 있으면 후속 질문·안내·제안을 이어갈 수 있지만 연락처만으로 구매가 보장되지는 않는다.,우리 회사에서 연결을 잃는 접점과 다시 이어갈 필요를 찾는다.,수집 도구·시트·문구 작성은 후속 강의로 넘긴다.,DB 유무에 따른 흐름 비교,고객 접촉이 끊긴 사례와 다시 연결한 사례,S02 S04 M02,미확정
3-2,DB를 모으는 퍼널,이세란,작은 문제 해결부터 고객 정보와 다음 제안까지 연결한다.,본상품 구매 전 고객이 해결하고 싶은 작은 문제를 고른다.,그 문제를 해결하는 자료·체험·진단과 본상품의 관계를 설계한다.,발견→신청→전달→후속 행동을 연결하고 유입 규모와 관심의 질을 함께 본다.,무료 제공 자체가 정답이라고 말하지 않는다. 법적 요건·도구 설정은 별도 확인한다.,리드마그넷·신청 퍼널,리드마그넷 후보·신청 화면·전달 방식,M02 S01 G005,미확정
3-3,DB 관리 시트,이세란,연락처 외에 출처·관심·단계·다음 행동을 관리한다.,고객을 구별할 정보와 유입 경로·관심·최근 행동·다음 할 일을 나눈다.,담당자·갱신 시점·중복 처리 기준을 정해 실제로 관리할 수 있는 시트를 설계한다.,필요한 판단에 쓰이지 않는 항목은 줄이고 현재 모르는 정보는 표시한다.,특정 CRM 제품의 설정법은 추가 자료로 다루며 불필요한 정보 수집을 전제하지 않는다.,DB 관리 시트,기존 DB 시트·필드 정의·업무 흐름,M02 S02 S04,미확정
3-4,고객 단계 나누기,이세란,연락 가능·관심·구매 준비 상태를 나눠 다음 행동을 정한다.,신규·관심·구매 검토 등의 단계 이름에 관찰 가능한 행동 기준을 붙인다.,마지막 구매일 하나만으로 관심과 의도를 단정하지 않는다.,단계 이동 조건과 다음에 확인할 질문을 정한다.,현재 단계는 가설이며 고객이 항상 직선으로 이동한다고 가정하지 않는다.,고객 단계 정의표,고객 행동 예시·분류 기준·애매한 사례,M02 S04 S02,미확정
3-5,DB로 매출 예상하기,이세란,고객 수·단계별 전환·구매금액으로 조건별 매출을 계산한다.,전체 연락처 수와 실제 제안 가능한 고객 수를 구분한다.,단계별 대상 수·전환 가정·구매 단가를 이용해 조건부 매출 범위를 계산한다.,기간·중복·재구매 포함 여부와 가정의 출처를 적고 실제값과 비교한다.,총 DB 수에 고정 전환율을 곱해 확정 매출로 말하지 않는다.,DB 기반 시나리오,단계별 고객 수·과거 전환·구매 데이터,M02 M03,미확정
4-1,고객 단계와 발송 시기,권기동,고객의 행동과 상태에 따라 보낼 메시지와 시점을 정한다.,고객 단계에 따라 먼저 해결해야 할 질문과 메시지 목적이 달라진다.,신청·자료 이용·질문·구매 등 관찰된 행동을 발송 계기로 연결한다.,다음 행동과 후속 연락 조건을 정하고 고객 반응에 따라 흐름을 조정한다.,시트 비고대로 CRM 문구·발송 중심이며 상담 기술로 확장하지 않는다.,발송 조건표,실제 발송 이력·고객 행동·운영 주기,S04 S02 S01,미확정
4-2,CRM 문구 기본 포맷 (변경안),권기동,관심 유도·가치·증거·다음 행동이 이어지는 문구를 만든다.,받는 사람이 왜 이 메시지를 읽어야 하는지 맥락을 밝힌다.,고객 문제와 구체적 가치·근거를 연결하고 필요한 행동을 분명히 안내한다.,한 문구 안에서 약속과 링크 이후 경험이 일치하는지 검토한다.,하나의 고정 공식이 모든 고객에게 최적이라고 말하지 않는다. 제목은 변경안 상태다.,CRM 기본 문구틀,실제 문자·이메일·알림 메시지와 연결 화면,S03 S01 G008,미확정
4-3,단계별 문구 — 신규·관심·구매 검토 (변경안),권기동,신규·관심·검토 고객에게 같은 문구를 반복하지 않고 필요한 정보를 보낸다.,신규 고객에게는 관계의 맥락과 받을 가치를 설명한다.,관심 고객에게는 남은 궁금증을 해결하고 구매 검토 고객에게는 비교·조건·증거를 제공한다.,동일 상품을 두고 단계별로 강조점과 다음 행동을 다르게 작성한다.,문구 기본 요소를 다시 길게 설명하지 않고 4-2의 틀을 적용한다.,단계별 문구,동일 상품의 단계별 실제 질문·문구,S03 S04 G008,미확정
4-4,구매 유도·마감 문구 (변경안),권기동,구매 이유와 실제 마감 조건을 명확히 전달한다.,고객이 결정하는 데 필요한 구매 조건·제공 범위·다음 행동을 명확히 한다.,실제 마감이나 수량 제한이 있다면 그 이유와 적용 조건을 전달한다.,구매를 망설이는 이유에 답하되 증명할 수 없는 보장과 가짜 긴급성을 넣지 않는다.,전체 런칭·웨비나 대본으로 확장하지 않는다.,구매·마감 문구,확정된 가격·기간·수량·보장 조건·구매 질문,M01 S03 S04,미확정
4-5,미구매·휴면 고객 재발송 문구 (변경안),권기동,미구매·휴면의 이유에 맞춰 다른 정보나 제안을 보낸다.,미구매와 휴면을 구분하고 마지막 접점과 당시 반응을 확인한다.,이전과 같은 문구 반복 대신 새로운 정보·해결할 질문·적합한 제안을 선택한다.,응답·재방문·거절에 따라 다음 연락 또는 중단 조건을 정한다.,체계적인 휴면 복귀 모델은 추가 근거가 필요하며 구독 해지 대응은 8-5로 넘긴다.,재발송 시퀀스,미구매·휴면 이유와 기존 재발송 사례,S01 S02 S03,미확정
4-6,CRM 성과 측정 방법 (변경안),권기동,발송·도달·반응·구매를 구분해 다음 문구를 개선한다.,발송·도달·반응·구매를 서로 다른 사건으로 정의한다.,같은 대상·기간·목적에서 문구와 제안의 성과를 비교한다.,좋거나 나쁜 숫자만 보는 대신 어느 단계의 설명을 바꿀지 결정한다.,플랫폼별 추적 기능과 인과 효과를 확인 없이 단정하지 않는다.,CRM 성과표,발송 결과·전환 추적·구매 기록 예시,M02 S01 Q008,미확정
5-1,우리 회사에 맞는 퍼널 선택하기,권기동,상품과 구매 방식에 맞는 고객 경로를 선택한다.,구매 결정의 복잡도와 고객이 먼저 확인해야 할 정보를 기준으로 경로를 선택한다.,바로 구매·신청·자료 수령 등 가능한 다음 행동을 비교한다.,회사의 상품·가격·제공 방식에 맞춰 필요한 단계만 남긴다.,예쁜 디자인이나 특정 퍼널 유형을 모든 회사에 적용하지 않는다.,퍼널 선택 이유,상품별 실제 구매 여정·후보 페이지,S01 S02,미확정
5-2,팔리는 홈의 구성,이세란,고객·결과·차이·증거·다음 행동이 보이도록 홈을 구성한다.,고객이 누구를 위한 어떤 제안인지 빠르게 이해하도록 내용을 구성한다.,상품 가치·증거·제공 조건·자주 묻는 질문을 구매 판단 순서에 맞춰 배치한다.,고객이 다음 행동을 할 위치와 필요한 정보를 연결한다.,완성 디자인·개발 구현은 직원의 추가 자료 작업으로 넘긴다.,홈 구성안,실제 홈 화면·USP·상품 정보·후기,S01 S03,미확정
5-3,플랫폼과 자사몰 연결하기,이세란,외부 플랫폼의 발견을 자사 접점의 관계로 연결한다.,플랫폼과 자사 홈이 각각 발견·신뢰·거래에서 맡는 역할을 구분한다.,고객이 이동할 이유와 이동 후 얻을 가치를 만든다.,이동 경로와 성과를 추적하고 접점 간 메시지·상품 조건을 맞춘다.,플랫폼 고객 정보를 임의로 가져올 수 있다고 전제하지 않고 실제 허용 기능을 확인한다.,플랫폼·자사 접점 연결도,사용 플랫폼 정책·화면·허용 링크·고객 경로,S02 G012,미확정
5-4,DB와 CRM 연결하기,이세란,신청 정보와 구매 상태를 후속 메시지에 연결한다.,홈에서 발생한 신청·문의·구매를 고객 기록과 연결한다.,행동별로 전달할 자료와 다음 메시지·담당자의 일을 정의한다.,누락·중복·전달 실패를 점검할 운영 흐름을 설계한다.,특정 도구 연동·자동화 코드는 직원 단계에서 실제 환경을 확인한다.,폼·DB·CRM 연결도,사이트 폼·DB·메시지 도구·담당자 업무,S01 S02 S04,미확정
5-5,홈을 복리 자산으로 만들기,이세란,홈의 콘텐츠·후기·데이터를 다음 개선에도 사용한다.,반복되는 고객 질문과 선택 이유를 홈에 축적한다.,새로 만든 콘텐츠·증거·FAQ를 구매 경로에 연결해 재사용한다.,내용의 정확성과 성과를 주기적으로 점검해 오래된 정보를 갱신한다.,페이지 수가 늘면 성과가 자동 누적된다고 말하지 않는다.,축적 자산 목록,콘텐츠·FAQ·후기 업데이트 이력,S02 S03 S01,미확정
5-6,전환율 측정하기,이세란,페이지 전체를 한꺼번에 바꾸지 않고 이탈 구간과 가설을 본다.,홈 전체 성과와 방문→신청→구매의 단계별 전환을 구분한다.,채널·기기·기간·고객 유형 차이를 고려해 이탈 지점을 확인한다.,제안·증거·행동 안내 중 바꿀 가설과 관찰 지표를 정한다.,현재 분석 도구 설정과 통계적 판단은 확인된 범위에서만 구체화한다.,전환율·실험표,방문·신청·결제 데이터와 실험 사례,S01 M02 Q008,미확정
6-1,리텐션과 복리 마케팅,이세란,첫 거래 이후의 고객가치와 비용 회수를 함께 본다.,신규 고객 확보만 반복할 때와 기존 고객의 후속 가치를 높일 때를 비교한다.,리텐션은 만족과 실제 사용·문제 해결이 이어질 조건을 설계하는 일로 설명한다.,재구매·추가 구매·소개가 서로 다른 경로임을 구분한다.,모든 상품에 높은 구매 빈도를 강요하지 않으며 구독은 CH08에서 다룬다.,고객가치 구조도,고객당 구매 이력과 구매 후 경험 사례,S01 M03,미확정
6-2,재구매 주기와 구매 후 고객 경험,이세란,첫 만족과 다음 필요가 생기는 시점에 맞춰 고객 경험을 설계한다.,구매 직후 고객이 기대한 가치를 얻기까지의 과정을 정리한다.,사용 안내·첫 성과·문제 해결·소진 또는 다음 필요 발생 시점을 찾는다.,상품별 실제 주기에 맞춰 지원과 재구매 안내를 배치한다.,근거 없는 고정 발송 주기나 업종 공통 재구매 주기를 정하지 않는다.,구매 후 여정·주기표,사용·재구매 이력·고객 문의·불만,S01 S02 M03,미확정
6-3,업셀링과 추가 구매,이세란,다음 문제를 해결하는 상품을 적절한 시점에 제안한다.,현재 구매를 더 잘 활용하게 돕는 보완 제안과 더 높은 수준의 문제를 해결하는 제안을 구분한다.,기존 상품으로 해결되는 범위와 추가 구매가 필요한 범위를 명확히 한다.,고객 적합성·제공 비용·제안 시점을 함께 판단한다.,단순 가격 인상이나 강제 묶음을 업셀의 전부로 설명하지 않는다.,업셀·추가 구매표,상품 구성·업셀 이력·추가 고객 문제,M03 S01 G007,미확정
6-4,지인 소개 프로그램,이세란,만족한 고객이 소개할 이유·방법·시점을 만든다.,소개가 가능한 고객 경험과 소개할 대상이 누구인지 먼저 정한다.,소개를 요청할 시점·전달 방식·양쪽의 가치와 필요한 보상 조건을 설계한다.,소개 후 실제 문의·구매·고객 적합성을 확인한다.,소개는 중요하지 않다는 리뷰 의견과 원전의 소개 장을 구분한다.,소개 프로그램 초안,실제 소개 경로·보상 비용·고객 반응,M02 G008,미확정
6-5,재구매·업셀·소개 시퀀스,이세란,안내·성과 확인·재구매·업셀·소개를 고객 상태에 맞게 연결한다.,구매 후 고객 경험의 시간 흐름에 재구매·업셀·소개를 배치한다.,같은 고객에게 서로 다른 제안이 충돌하지 않도록 목적과 우선순위를 정한다.,행동에 따라 다음 제안을 바꾸거나 멈추는 시퀀스를 설계한다.,모든 고객에게 동일한 세 제안을 같은 간격으로 보내지 않는다.,구매 후 시퀀스,구매 후 메시지·제안 일정·대상 조건,S01 S02 M03,미확정
6-6,성과 측정,이세란,반복 구매와 소개의 매출뿐 아니라 비용·이익을 확인한다.,재구매·업셀·소개를 따로 정의하고 관찰 기간과 고객 집단을 정한다.,반복 구매 매출과 제공·보상 비용을 함께 확인한다.,성과가 낮은 구간을 상품 경험·제안 적합성·운영 문제로 나눠 다음 개선을 정한다.,고객 생애가치를 짧은 기간의 매출만으로 확정하지 않는다.,리텐션 성과표,고객별 구매·제공 원가·소개 집계,M02 M03,미확정
7-1,왜 커뮤니티인가,이세란,상품 사용·실행·관계 유지에서 커뮤니티가 필요한지 판단한다.,고객에게 정보 외에 실행·피드백·동료 관계가 필요한지 판단한다.,회사가 만들 커뮤니티의 목적과 고객이 계속 참여할 이유를 구분해 연결한다.,운영 비용에 비해 지속할 가치가 없다면 커뮤니티가 필수가 아님을 설명한다.,커뮤니티 운영법 전체의 직접 근거는 부족하며 구독 사례를 일반 법칙으로 쓰지 않는다.,커뮤니티 필요성 판단,기존 고객의 반복 질문·교류 수요·운영 사례,Q006 G002 M03,미확정
7-2,핵심 행동과 운영 장치,이세란,고객이 실제로 할 핵심 행동과 피드백 장치를 정한다.,회원이 어떤 행동을 반복하면 원하는 결과에 가까워지는지 정한다.,질문·실행 기록·피드백·동료 교류를 돕는 장치를 그 행동에 맞춰 배치한다.,"운영자와 회원의 역할, 첫 참여부터 재참여까지의 경로를 설계한다.",행사·챌린지 숫자를 늘리는 것 자체를 목표로 삼지 않는다.,핵심 행동·운영 일정,실제 운영 일정·참여 규칙·활동 예시,Q006 G002,미확정
7-3,후기와 수익인증 플라이휠,이세란,고객 결과를 조건이 보이는 후기로 수집하고 전달한다.,실행과 결과를 기록해야 후기가 무엇을 보여주는지 판단할 수 있다.,후기를 다른 회원의 이해·실행에 도움이 되는 정보로 구성한다.,그 경험이 새로운 참여와 사례로 이어지는 경로를 설계하고 개인정보·공개 범위를 확인한다.,수익 인증은 실제 검증 가능한 경우만 사용하며 보장처럼 제시하지 않는다.,후기·사례 수집표,원본 성과 기록·기간·조건·공개 동의·실패 사례,M02 G002 Q006,미확정
7-4,소개 프로그램과 연결하기,이세란,성과를 경험한 고객의 소개를 커뮤니티 흐름에 연결한다.,커뮤니티 참여의 만족과 외부 사람에게 추천할 이유를 구분한다.,추천 대상·초대 시점·신규 회원이 받을 가치를 명확히 한다.,초대 후 첫 경험과 기존 회원 경험이 함께 유지되도록 운영한다.,일반 소개 프로그램은 6-4를 재사용하고 커뮤니티 맥락의 차이만 심화한다.,소개 동선,회원 초대·온보딩·추천 보상 실제 사례,M02 Q006,미확정
7-5,운영 위임과 측정,이세란,담당자·운영 반복 업무·측정 기준을 분리한다.,회원의 핵심 행동과 운영자가 반복할 업무를 나눈다.,질문 응답·문제 처리·기록·행사 진행의 기준을 문서로 넘긴다.,가입 수뿐 아니라 첫 참여·지속 참여·문제 해결·운영 부담을 확인한다.,커뮤니티 전용 지표·운영 주기는 적용안으로 표시한다.,역할·운영·성과표,운영 매뉴얼·활동 기록·담당자 처리 사례,M02 G011 Q006,미확정
8-1,월구독이 가능한 조건,권기동,반복되는 필요와 지속 제공 가능성이 있는지 먼저 판단한다.,고객에게 반복적으로 생기는 필요와 회사가 계속 제공할 가치를 확인한다.,한 번의 상품 대금을 나눠 받는 것과 지속 제공에 대한 구독을 구분한다.,가치 지속·제공 능력·유지 비용을 비교해 구독 적합성을 판단한다.,모든 업종에 월구독을 권하지 않는다.,구독 적합성 점검표,지속 고객 문제·제공 주기·기존 반복 서비스,M03 S01,미확정
8-2,업종별 반복매출 방식,권기동,배송·관리·점검·지원 등 반복 가치의 형태를 비교한다.,반복 보충·지속 이용·정기 관리·정보와 지원 등 반복 가치의 형태를 비교한다.,업종별 구매 주기와 제공 단위를 기준으로 가능한 방식을 선택한다.,비슷한 가격 구조라도 고객이 계속 지불할 이유가 다른 점을 설명한다.,업종별 예시는 검증된 사례 또는 가상 적용안으로 구분한다.,업종별 반복 가치 가설,업종별 실제 상품·고객 이용 주기,M03 Q006 G007,미확정
8-3,기존 상품에서 월구독으로 연결하기,권기동,본상품 사용 뒤 생기는 다음 문제를 지속 제안으로 연결한다.,기존 상품 이용 후 계속 남거나 새로 생기는 고객 문제를 찾는다.,일회성 상품과 지속 서비스의 역할·범위·가격 관계를 설명한다.,구독 제안 시점과 첫 이용 경험을 설계해 고객이 추가 가치를 확인하게 한다.,원래 제공해야 할 기능을 임의로 빼 구독 필요성을 만들지 않는다.,첫 구매→구독 경로,기존 상품·구독 후보·고객 후속 질문,M03 S01,미확정
8-4,월구독 운영 구조와 손익,권기동,제공 범위·인력·비용·유지기간을 함께 계산한다.,회원 수뿐 아니라 제공량·인력·원가·지원 비용을 함께 계산한다.,신규 가입과 해지가 동시에 일어나는 운영 상황을 고려한다.,서비스 품질을 유지할 수용량과 담당·반복 업무를 정한다.,단순 월매출을 확정 이익으로 계산하지 않는다.,구독 운영·손익표,월별 가입·해지·이용량·업무 시간·원가,M03 G011,미확정
8-5,해지와 윈백,권기동,해지 이유와 미사용 원인을 분리하고 개선·복귀 제안을 만든다.,해지 이유를 필요 소멸·사용 부족·가치 불일치·운영 문제 등으로 구분한다.,고객 문제를 해결할 수 있는 개선과 적합한 복귀 제안을 구별한다.,해지 전후 연락과 복귀 결과를 기록하되 돌아오는 것이 항상 정답이라고 가정하지 않는다.,현재 자료의 체계적 윈백 근거가 부족하므로 사용자 자료를 받아 구체화한다.,해지 원인·윈백표,해지 사유·복귀 이력·실제 고객 인터뷰,M03 S02,미확정
9-1,트래픽의 네 가지 방법,이세란,유입의 전체 선택지를 보고 우리 분류와 원전 분류의 차이를 이해한다.,100M Leads의 아는 사람·모르는 사람과 일대일·일대다 축으로 네 접근 방식을 설명한다.,직접 연락·콘텐츠·광고 등 방법과 실제 플랫폼 이름을 구분한다.,기획 문서가 별도의 네 분류를 사용한다면 두 분류의 목적과 대응 관계를 밝힌다.,원전의 Core Four를 검색·콘텐츠·광고·제휴 네 가지라고 바꿔 인용하지 않는다.,유입 방법 지도,강사가 사용할 네 분류의 정의·현재 채널 사례,M02 S02 G005,미확정
9-2,우리 회사에 맞는 채널 고르기,이세란,고객 위치·예산·인력·구매 방식으로 우선 채널을 정한다.,고객이 모인 위치와 구매 의도·정보 탐색 방식을 확인한다.,상품 설명 방식·회사 예산·인력·콘텐츠 생산 능력과 채널을 비교한다.,먼저 검증할 채널과 다음 접점으로 이어질 경로를 선택한다.,2-4의 상품 적합성 판단을 입력으로 쓰며 모든 채널 집행은 요구하지 않는다.,채널 우선순위,실제 고객 조사·채널별 비용과 실행 자원,S02 M02 Q005,미확정
